timestamp,transformer_id,voltage_kV,current_A,load_percentage,oil_temperature_c,winding_temperature_c,ambient_temperature_c,vibration_mm_s,dissolved_hydrogen_ppm,dissolved_methane_ppm,dissolved_acetylene_ppm,power_factor,cooling_status,weather_condition,stress_index,anomaly_flag,temp_diff_winding_oil,temp_diff_oil_ambient,apparent_power_mva,active_power_mw,c2h2_to_h2_ratio,ch4_to_h2_ratio,hour,hour_sin,hour_cos,is_peak_hours,weather_Clear,weather_Heatwave,weather_Overcast,weather_Rainy
2026-06-01 11:00:00,TX-ALPHA-01,130.41,633.53,78.6,58.68,72.77,27.21,2.55,48.79,33.18,0.44,0.892,1,Rainy,30.62,0,14.09,31.47,143.1,127.65,0.009,0.6801,11,0.2588,-0.9659,1,0,0,0,1
2026-06-01 12:00:00,TX-ALPHA-01,131.51,719.19,90.16,62.4,82.21,32.3,2.649,44.11,34.17,1.41,0.877,2,Clear,45.83,0,19.81,30.1,163.82,143.67,0.032,0.7747,12,0.0,-1.0,1,1,0,0,0
2026-06-01 13:00:00,TX-ALPHA-01,134.8,608.48,75.47,60.74,73.7,32.01,2.716,15.9,24.47,1.04,0.884,1,Overcast,30.57,0,12.96,28.73,142.07,125.59,0.0654,1.539,13,-0.2588,-0.9659,0,0,0,1,0
2026-06-01 14:00:00,TX-ALPHA-01,129.95,586.95,74.33,57.84,72.65,30.96,2.646,20.48,18.32,0.74,0.946,1,Overcast,28.61,0,14.81,26.88,132.11,124.98,0.0361,0.8945,14,-0.5,-0.866,0,0,0,1,0
2026-06-01 15:00:00,TX-ALPHA-01,131.66,562.58,69.43,55.31,66.66,30.37,2.147,38.57,12.57,0.35,0.934,1,Rainy,17.76,0,11.35,24.94,128.29,119.82,0.0091,0.3259,15,-0.7071,-0.7071,0,0,0,0,1
2026-06-01 16:00:00,TX-ALPHA-01,132.35,538.32,68.3,56.03,68.78,31.42,2.643,28.18,13.35,0.48,0.952,1,Rainy,21.85,0,12.75,24.61,123.4,117.48,0.017,0.4737,16,-0.866,-0.5,0,0,0,0,1
2026-06-01 17:00:00,TX-ALPHA-01,132.86,588.04,72.09,78.9,99.53,29.69,2.649,17.06,9.18,0.89,0.949,0,Clear,59.72,1,20.63,49.21,135.32,128.42,0.0522,0.5381,17,-0.9659,-0.2588,0,1,0,0,0
2026-06-01 18:00:00,TX-ALPHA-01,129.01,463.32,57.38,53.33,62.27,26.5,2.337,37.68,10.59,0.62,0.904,0,Clear,8.22,0,8.94,26.83,103.53,93.59,0.0165,0.2811,18,-1.0,-0.0,1,1,0,0,0
2026-06-01 19:00:00,TX-ALPHA-01,130.71,398.1,48.71,43.78,49.15,23.02,2.008,11.48,10.42,2.38,0.973,0,Clear,0.05,0,5.37,20.76,90.13,87.7,0.2073,0.9077,19,-0.9659,0.2588,1,1,0,0,0
2026-06-01 20:00:00,TX-ALPHA-01,130.22,553.85,68.94,44.66,57.42,21.05,2.561,356.9,100.94,31.02,0.91,1,Overcast,39.42,1,12.76,23.61,124.92,113.68,0.0869,0.2828,20,-0.866,0.5,1,0,0,1,0
2026-06-01 21:00:00,TX-ALPHA-01,130.53,544.95,67.54,44.11,55.84,20.81,2.339,52.26,18.28,0.59,0.926,1,Clear,12.26,0,11.73,23.3,123.2,114.08,0.0113,0.3498,21,-0.7071,0.7071,1,1,0,0,0
2026-06-01 22:00:00,TX-ALPHA-01,132.66,591.19,74.03,45.24,59.64,17.82,2.44,10.35,28.21,0.46,0.905,1,Overcast,16.66,0,14.4,27.42,135.84,122.94,0.0444,2.7256,22,-0.5,0.866,0,0,0,1,0
2026-06-01 23:00:00,TX-ALPHA-01,133.22,642.73,79.55,44.74,60.65,16.01,2.754,79.86,14.38,0.57,0.895,1,Clear,22.3,0,15.91,28.73,148.31,132.74,0.0071,0.1801,23,-0.2588,0.9659,0,1,0,0,0
2026-06-02 00:00:00,TX-ALPHA-01,131.39,628.55,78.24,45.58,59.82,15.2,2.798,43.88,13.92,0.21,0.92,1,Clear,21.26,0,14.24,30.38,143.04,131.6,0.0048,0.3172,0,0.0,1.0,0,1,0,0,0
2026-06-02 01:00:00,TX-ALPHA-01,132.15,628.39,77.8,44.66,58.28,12.73,2.358,26.74,24.75,1.45,0.895,1,Clear,18.37,0,13.62,31.93,143.83,128.73,0.0542,0.9256,1,0.2588,0.9659,0,1,0,0,0
2026-06-02 02:00:00,TX-ALPHA-01,128.86,607.42,73.71,39.33,53.36,11.16,2.798,11.6,9.05,1.17,0.911,1,Rainy,18.62,0,14.03,28.17,135.57,123.5,0.1009,0.7802,2,0.5,0.866,0,0,0,0,1
2026-06-02 03:00:00,TX-ALPHA-01,129.83,533.35,68.43,36.05,48.28,11.78,2.727,18.28,36.42,0.29,0.898,1,Clear,15.11,0,12.23,24.27,119.94,107.71,0.0159,1.9923,3,0.7071,0.7071,0,1,0,0,0
2026-06-02 04:00:00,TX-ALPHA-01,133.91,1008.96,126.12,33.96,70.44,12.52,2.13,40.44,11.04,2.84,0.935,1,Clear,47.23,1,36.48,21.44,234.02,218.81,0.0702,0.273,4,0.866,0.5,0,1,0,0,0
2026-06-02 05:00:00,TX-ALPHA-01,131.29,464.7,57.82,39.74,47.94,14.73,2.546,30.04,37.62,2.75,0.906,0,Clear,7.83,0,8.2,25.01,105.67,95.74,0.0915,1.2523,5,0.9659,0.2588,0,1,0,0,0
2026-06-02 06:00:00,TX-ALPHA-01,132.69,405.99,52.05,39.07,45.96,16.63,1.869,14.52,15.24,0.23,0.879,0,Clear,1.2,0,6.89,22.44,93.31,82.02,0.0158,1.0496,6,1.0,0.0,0,1,0,0,0
2026-06-02 07:00:00,TX-ALPHA-01,131.82,481.64,59.39,44.38,52.64,17.59,2.307,17.95,26.04,0.72,0.943,0,Clear,7.32,0,8.26,26.79,109.97,103.7,0.0401,1.4507,7,0.9659,-0.2588,0,1,0,0,0
2026-06-02 08:00:00,TX-ALPHA-01,132.39,548.28,66.99,44.49,57.65,21.26,2.451,46.66,18.56,1.24,0.927,1,Clear,12.62,0,13.16,23.23,125.72,116.54,0.0266,0.3978,8,0.866,-0.5,0,1,0,0,0
2026-06-02 09:00:00,TX-ALPHA-01,130.73,509.86,64.9,46.33,53.8,23.7,2.315,36.7,12.41,1.56,0.93,1,Clear,10.58,0,7.47,22.63,115.45,107.37,0.0425,0.3381,9,0.7071,-0.7071,1,1,0,0,0
2026-06-02 10:00:00,TX-ALPHA-01,128.09,626.4,79.12,58.69,73.92,27.5,2.634,24.05,20.15,0.85,0.938,1,Overcast,32.39,0,15.23,31.19,138.97,130.35,0.0353,0.8378,10,0.5,-0.866,1,0,0,1,0
2026-06-02 11:00:00,TX-ALPHA-01,131.61,694.71,86.17,53.51,70.54,26.64,3.035,335.47,145.03,40.59,0.977,2,Clear,61.09,1,17.03,26.87,158.36,154.72,0.121,0.4323,11,0.2588,-0.9659,1,1,0,0,0
2026-06-02 12:00:00,TX-ALPHA-01,131.23,599.33,76.24,60.62,73.8,31.1,2.673,13.2,8.5,0.35,0.918,1,Clear,30.85,0,13.18,29.52,136.23,125.06,0.0265,0.6439,12,0.0,-1.0,1,1,0,0,0
2026-06-02 13:00:00,TX-ALPHA-01,132.09,597.65,77.56,58.68,73.75,29.94,2.837,11.28,32.82,2.23,0.917,1,Clear,32.56,0,15.07,28.74,136.73,125.38,0.1977,2.9096,13,-0.2588,-0.9659,0,1,0,0,0
2026-06-02 14:00:00,TX-ALPHA-01,131.2,608.48,76.78,57.62,70.42,32.74,2.855,19.31,24.51,0.23,0.912,1,Overcast,29.44,0,12.8,24.88,138.27,126.1,0.0119,1.2693,14,-0.5,-0.866,0,0,0,1,0
2026-06-02 15:00:00,TX-ALPHA-01,130.54,571.79,71.37,53.92,65.86,31.69,2.304,17.1,8.24,0.51,0.966,1,Clear,19.17,0,11.94,22.23,129.28,124.88,0.0298,0.4819,15,-0.7071,-0.7071,0,1,0,0,0
2026-06-02 16:00:00,TX-ALPHA-01,131.99,533.01,64.78,54.36,66.79,32.68,2.474,18.48,9.64,0.47,0.922,1,Overcast,17.12,0,12.43,21.68,121.85,112.35,0.0254,0.5216,16,-0.866,-0.5,0,0,0,1,0
2026-06-02 17:00:00,TX-ALPHA-01,132.04,484.79,60.44,47.44,56.75,26.77,2.163,12.63,10.48,0.47,0.909,1,Rainy,7.07,0,9.31,20.67,110.87,100.78,0.0372,0.8298,17,-0.9659,-0.2588,0,0,0,0,1
2026-06-02 18:00:00,TX-ALPHA-01,132.41,412.91,51.68,48.8,55.83,27.06,2.281,12.81,21.25,2.32,0.913,0,Overcast,2.67,0,7.03,21.74,94.7,86.46,0.1811,1.6589,18,-1.0,-0.0,1,0,0,1,0
2026-06-02 19:00:00,TX-ALPHA-01,131.15,419.0,53.63,45.58,53.18,25.71,2.104,24.15,12.09,0.9,0.928,0,Clear,2.74,0,7.6,19.87,95.18,88.33,0.0373,0.5006,19,-0.9659,0.2588,1,1,0,0,0
2026-06-02 20:00:00,TX-ALPHA-01,130.71,487.67,61.44,41.82,52.69,21.22,2.08,31.42,18.87,0.71,0.95,1,Clear,7.15,0,10.87,20.6,110.41,104.89,0.0226,0.6006,20,-0.866,0.5,1,1,0,0,0
2026-06-02 21:00:00,TX-ALPHA-01,132.73,558.66,67.86,44.13,55.29,19.62,2.539,12.68,10.15,1.55,0.916,1,Clear,13.65,0,11.16,24.51,128.43,117.64,0.1222,0.8005,21,-0.7071,0.7071,1,1,0,0,0
2026-06-02 22:00:00,TX-ALPHA-01,133.8,575.49,72.45,42.93,54.11,18.05,2.434,30.65,16.38,0.41,0.859,1,Clear,15.7,0,11.18,24.88,133.37,114.56,0.0134,0.5344,22,-0.5,0.866,0,1,0,0,0
2026-06-02 23:00:00,TX-ALPHA-01,130.67,632.53,78.71,46.05,60.07,16.0,2.537,33.7,19.61,0.81,0.925,1,Overcast,20.03,0,14.02,30.05,143.16,132.42,0.024,0.5819,23,-0.2588,0.9659,0,0,0,1,0
2026-06-03 00:00:00,TX-ALPHA-01,133.25,604.24,76.6,40.32,55.07,12.79,2.646,16.28,28.66,0.29,0.922,1,Clear,19.39,0,14.75,27.53,139.46,128.58,0.0178,1.7604,0,0.0,1.0,0,1,0,0,0
2026-06-03 01:00:00,TX-ALPHA-01,131.36,606.85,76.55,43.57,59.21,13.89,2.78,21.74,11.48,0.54,0.949,1,Rainy,20.16,0,15.64,29.68,138.07,131.03,0.0248,0.5281,1,0.2588,0.9659,0,0,0,0,1
2026-06-03 02:00:00,TX-ALPHA-01,132.98,637.32,79.73,37.83,55.49,9.87,2.661,10.27,32.68,2.35,0.928,1,Overcast,21.31,0,17.66,27.96,146.79,136.22,0.2288,3.1821,2,0.5,0.866,0,0,0,1,0
2026-06-03 03:00:00,TX-ALPHA-01,132.38,542.75,69.27,40.4,52.74,12.6,2.467,48.97,15.19,0.3,0.88,1,Rainy,14.04,0,12.34,27.8,124.45,109.52,0.0061,0.3102,3,0.7071,0.7071,0,0,0,0,1
2026-06-03 04:00:00,TX-ALPHA-01,129.46,540.31,65.63,36.11,46.24,13.41,2.05,21.56,38.29,0.54,0.915,1,Overcast,9.42,0,10.13,22.7,121.15,110.85,0.025,1.776,4,0.866,0.5,0,0,0,1,0
2026-06-03 05:00:00,TX-ALPHA-01,130.31,443.56,55.63,58.02,75.38,13.13,2.17,16.75,18.43,1.0,0.92,0,Clear,39.3,1,17.36,44.89,100.11,92.1,0.0597,1.1003,5,0.9659,0.2588,0,1,0,0,0
2026-06-03 06:00:00,TX-ALPHA-01,133.66,455.5,56.72,42.54,50.3,16.96,1.997,17.6,14.68,1.49,0.88,0,Clear,3.92,0,7.76,25.58,105.45,92.8,0.0847,0.8341,6,1.0,0.0,0,1,0,0,0
2026-06-03 07:00:00,TX-ALPHA-01,132.45,511.95,62.54,38.15,50.9,17.69,2.716,19.84,16.25,1.36,0.951,1,Clear,11.61,0,12.75,20.46,117.45,111.69,0.0685,0.8191,7,0.9659,-0.2588,0,1,0,0,0
2026-06-03 08:00:00,TX-ALPHA-01,132.77,481.17,60.51,43.38,52.91,22.13,2.494,22.04,11.51,0.37,0.962,1,Overcast,9.1,0,9.53,21.25,110.65,106.45,0.0168,0.5222,8,0.866,-0.5,0,0,0,1,0
2026-06-03 09:00:00,TX-ALPHA-01,132.21,489.6,59.98,53.32,62.98,25.56,2.292,34.66,47.45,2.51,0.946,0,Clear,10.05,0,9.66,27.76,112.12,106.07,0.0724,1.369,9,0.7071,-0.7071,1,1,0,0,0
2026-06-03 10:00:00,TX-ALPHA-01,134.04,589.47,72.72,54.1,67.76,26.28,2.561,24.7,12.91,1.59,0.93,1,Clear,23.09,0,13.66,27.82,136.85,127.27,0.0644,0.5227,10,0.5,-0.866,1,1,0,0,0
2026-06-03 11:00:00,TX-ALPHA-01,131.06,671.62,82.39,60.05,76.25,28.5,2.488,73.37,15.64,0.36,0.909,1,Clear,35.36,0,16.2,31.55,152.46,138.59,0.0049,0.2132,11,0.2588,-0.9659,1,1,0,0,0
2026-06-03 12:00:00,TX-ALPHA-01,129.96,669.13,84.23,66.15,83.86,31.7,2.946,35.94,17.05,1.55,0.89,1,Clear,45.53,0,17.71,34.45,150.62,134.05,0.0431,0.4744,12,0.0,-1.0,1,1,0,0,0
2026-06-03 13:00:00,TX-ALPHA-01,131.16,547.24,68.01,55.02,67.73,31.58,2.241,14.33,20.03,0.75,0.907,1,Rainy,18.39,0,12.71,23.44,124.32,112.76,0.0523,1.3978,13,-0.2588,-0.9659,0,0,0,0,1
2026-06-03 14:00:00,TX-ALPHA-01,129.22,564.25,71.77,64.44,79.12,41.68,2.467,29.18,19.31,2.59,0.924,1,Heatwave,26.43,0,14.68,22.76,126.29,116.69,0.0888,0.6618,14,-0.5,-0.866,0,0,1,0,0
2026-06-03 15:00:00,TX-ALPHA-01,132.45,486.99,63.02,53.36,64.18,31.6,2.125,19.64,13.07,0.55,0.929,1,Overcast,11.83,0,10.82,21.76,111.72,103.79,0.028,0.6655,15,-0.7071,-0.7071,0,0,0,1,0
2026-06-03 16:00:00,TX-ALPHA-01,133.48,557.75,70.46,57.95,71.13,29.53,2.726,31.35,23.45,1.01,0.927,1,Rainy,25.56,0,13.18,28.42,128.95,119.54,0.0322,0.748,16,-0.866,-0.5,0,0,0,0,1
2026-06-03 17:00:00,TX-ALPHA-01,132.22,482.49,60.79,51.08,58.98,30.7,2.238,11.93,23.76,0.37,0.923,1,Clear,7.72,0,7.9,20.38,110.5,101.99,0.031,1.9916,17,-0.9659,-0.2588,0,1,0,0,0
2026-06-03 18:00:00,TX-ALPHA-01,131.9,458.7,58.17,54.31,62.22,27.79,2.53,22.34,15.87,1.93,0.986,0,Clear,9.79,0,7.91,26.52,104.79,103.32,0.0864,0.7104,18,-1.0,-0.0,1,1,0,0,0
2026-06-03 19:00:00,TX-ALPHA-01,132.26,406.34,49.06,49.51,53.86,26.32,2.229,41.39,14.49,0.7,0.957,0,Clear,1.37,0,4.35,23.19,93.08,89.08,0.0169,0.3501,19,-0.9659,0.2588,1,1,0,0,0
2026-06-03 20:00:00,TX-ALPHA-01,135.9,445.53,56.5,44.46,52.96,21.47,2.084,21.09,23.81,0.2,0.9,0,Clear,4.3,0,8.5,22.99,104.87,94.38,0.0095,1.129,20,-0.866,0.5,1,1,0,0,0
2026-06-03 21:00:00,TX-ALPHA-01,129.61,570.18,70.48,44.14,55.99,19.96,2.629,23.32,56.43,1.92,0.913,1,Rainy,15.72,0,11.85,24.18,128.0,116.86,0.0823,2.4198,21,-0.7071,0.7071,1,0,0,0,1
2026-06-03 22:00:00,TX-ALPHA-01,131.29,574.87,71.11,41.87,55.0,16.82,2.582,24.9,10.93,0.78,0.916,1,Clear,15.81,0,13.13,25.05,130.73,119.75,0.0313,0.439,22,-0.5,0.866,0,1,0,0,0
2026-06-03 23:00:00,TX-ALPHA-01,132.25,571.89,71.49,42.44,56.6,15.06,2.624,10.53,35.04,1.77,0.917,1,Clear,16.28,0,14.16,27.38,131.0,120.13,0.1681,3.3276,23,-0.2588,0.9659,0,1,0,0,0
2026-06-04 00:00:00,TX-ALPHA-01,131.9,581.74,72.95,45.09,58.32,21.12,2.342,10.08,22.28,0.24,0.924,1,Heatwave,15.44,0,13.23,23.97,132.9,122.8,0.0238,2.2103,0,0.0,1.0,0,0,1,0,0
2026-06-04 01:00:00,TX-ALPHA-01,132.23,668.21,82.45,46.28,62.74,12.39,2.812,21.05,32.31,0.43,0.936,1,Clear,26.08,0,16.46,33.89,153.04,143.25,0.0204,1.5349,1,0.2588,0.9659,0,1,0,0,0
2026-06-04 02:00:00,TX-ALPHA-01,130.61,572.18,70.78,36.1,48.91,10.6,2.444,10.02,17.75,1.33,0.951,1,Clear,14.78,0,12.81,25.5,129.44,123.1,0.1327,1.7715,2,0.5,0.866,0,1,0,0,0
2026-06-04 03:00:00,TX-ALPHA-01,130.51,522.51,65.12,35.45,47.64,12.04,2.325,17.47,10.37,1.32,0.913,1,Clear,10.77,0,12.19,23.41,118.11,107.83,0.0756,0.5936,3,0.7071,0.7071,0,1,0,0,0
2026-06-04 04:00:00,TX-ALPHA-01,131.65,489.15,58.83,43.1,53.56,13.93,2.604,17.26,8.81,1.58,0.902,0,Rainy,8.78,0,10.46,29.17,111.54,100.61,0.0915,0.5104,4,0.866,0.5,0,0,0,0,1
2026-06-04 05:00:00,TX-ALPHA-01,132.13,425.86,51.77,39.26,47.35,14.79,2.248,13.92,9.69,1.82,0.904,0,Clear,2.52,0,8.09,24.47,97.46,88.1,0.1307,0.6961,5,0.9659,0.2588,0,1,0,0,0
2026-06-04 06:00:00,TX-ALPHA-01,131.48,463.28,55.97,40.79,50.37,17.52,2.38,13.35,32.31,1.2,0.887,0,Clear,5.76,0,9.58,23.27,105.5,93.58,0.0899,2.4202,6,1.0,0.0,0,1,0,0,0
2026-06-04 07:00:00,TX-ALPHA-01,131.76,446.47,57.29,43.61,51.92,17.95,2.419,46.43,49.12,0.36,0.909,0,Clear,6.77,0,8.31,25.66,101.89,92.62,0.0078,1.0579,7,0.9659,-0.2588,0,1,0,0,0
2026-06-04 08:00:00,TX-ALPHA-01,132.55,522.24,67.25,47.34,57.6,23.97,2.641,23.38,14.81,3.53,0.903,1,Clear,13.91,0,10.26,23.37,119.9,108.27,0.151,0.6334,8,0.866,-0.5,0,1,0,0,0
2026-06-04 09:00:00,TX-ALPHA-01,133.82,599.22,73.98,51.81,64.98,23.46,2.541,19.88,10.83,0.54,0.948,1,Rainy,21.38,0,13.17,28.35,138.89,131.67,0.0272,0.5448,9,0.7071,-0.7071,1,0,0,0,1
2026-06-04 10:00:00,TX-ALPHA-01,131.29,575.78,70.63,51.19,64.07,27.08,2.498,11.99,35.19,0.92,0.939,1,Overcast,18.41,0,12.88,24.11,130.93,122.94,0.0767,2.9349,10,0.5,-0.866,1,0,0,1,0
2026-06-04 11:00:00,TX-ALPHA-01,132.22,626.32,77.64,60.19,76.89,29.52,2.556,22.08,18.92,1.43,0.936,1,Clear,33.54,0,16.7,30.67,143.43,134.25,0.0648,0.8569,11,0.2588,-0.9659,1,1,0,0,0
2026-06-04 12:00:00,TX-ALPHA-01,132.98,616.81,75.14,61.24,73.52,30.39,2.763,19.53,24.36,1.84,0.911,1,Clear,30.51,0,12.28,30.85,142.07,129.43,0.0942,1.2473,12,0.0,-1.0,1,1,0,0,0
2026-06-04 13:00:00,TX-ALPHA-01,131.27,695.89,83.12,60.11,75.96,30.09,2.414,13.41,30.02,0.35,0.915,1,Clear,35.1,0,15.85,30.02,158.22,144.77,0.0261,2.2386,13,-0.2588,-0.9659,0,1,0,0,0
2026-06-04 14:00:00,TX-ALPHA-01,133.31,630.68,77.88,61.8,79.05,32.46,2.684,10.45,14.04,0.95,0.99,1,Overcast,36.24,0,17.25,29.34,145.62,144.16,0.0909,1.3435,14,-0.5,-0.866,0,0,0,1,0
2026-06-04 15:00:00,TX-ALPHA-01,130.99,473.53,62.05,53.27,62.98,30.59,2.595,23.81,20.01,0.57,0.905,1,Clear,13.08,0,9.71,22.68,107.44,97.23,0.0239,0.8404,15,-0.7071,-0.7071,0,1,0,0,0
2026-06-04 16:00:00,TX-ALPHA-01,131.7,457.97,58.31,59.31,67.84,30.53,2.305,25.84,12.49,0.61,0.966,0,Clear,13.21,0,8.53,28.78,104.47,100.92,0.0236,0.4834,16,-0.866,-0.5,0,1,0,0,0
2026-06-04 17:00:00,TX-ALPHA-01,129.89,497.07,62.83,52.77,61.25,31.13,2.199,18.93,21.28,0.33,0.933,1,Overcast,9.72,0,8.48,21.64,111.83,104.34,0.0174,1.1241,17,-0.9659,-0.2588,0,0,0,1,0
2026-06-04 18:00:00,TX-ALPHA-01,129.54,403.65,48.95,47.6,54.1,25.44,2.439,207.08,161.54,53.29,0.965,0,Clear,27.64,1,6.5,22.16,90.57,87.4,0.2573,0.7801,18,-1.0,-0.0,1,1,0,0,0
2026-06-04 19:00:00,TX-ALPHA-01,131.72,424.76,52.53,47.94,55.88,24.43,2.236,40.37,15.28,0.78,0.902,0,Overcast,2.9,0,7.94,23.51,96.91,87.41,0.0193,0.3785,19,-0.9659,0.2588,1,0,0,1,0
2026-06-04 20:00:00,TX-ALPHA-01,132.92,446.19,57.09,51.73,60.45,23.33,2.271,27.7,29.85,2.51,0.901,0,Clear,6.14,0,8.72,28.4,102.72,92.55,0.0906,1.0776,20,-0.866,0.5,1,1,0,0,0
2026-06-04 21:00:00,TX-ALPHA-01,131.33,550.52,68.73,45.97,56.89,20.57,2.571,26.13,14.01,1.04,0.926,1,Overcast,14.35,0,10.92,25.4,125.23,115.96,0.0398,0.5362,21,-0.7071,0.7071,1,0,0,1,0
2026-06-04 22:00:00,TX-ALPHA-01,132.48,604.74,75.07,45.17,58.74,16.92,2.744,15.94,21.22,1.52,0.968,1,Overcast,19.09,0,13.57,28.25,138.76,134.32,0.0954,1.3312,22,-0.5,0.866,0,0,0,1,0
2026-06-04 23:00:00,TX-ALPHA-01,132.18,607.95,77.28,42.57,56.15,16.48,2.902,18.93,11.25,0.57,0.882,1,Clear,21.32,0,13.58,26.09,139.19,122.77,0.0301,0.5943,23,-0.2588,0.9659,0,1,0,0,0
2026-06-05 00:00:00,TX-ALPHA-01,130.97,694.84,84.04,46.4,60.45,15.31,3.171,10.39,13.01,0.58,0.949,1,Overcast,27.26,0,14.05,31.09,157.62,149.58,0.0558,1.2522,0,0.0,1.0,0,0,0,1,0
2026-06-05 01:00:00,TX-ALPHA-01,133.02,655.56,81.23,46.04,61.53,15.14,2.773,11.6,15.98,0.44,0.912,1,Clear,24.12,0,15.49,30.9,151.04,137.75,0.0379,1.3776,1,0.2588,0.9659,0,1,0,0,0
2026-06-05 02:00:00,TX-ALPHA-01,133.38,618.84,79.32,43.09,57.2,12.22,2.583,13.0,21.72,0.36,0.89,1,Overcast,20.6,0,14.11,30.87,142.96,127.23,0.0277,1.6708,2,0.5,0.866,0,0,0,1,0
2026-06-05 03:00:00,TX-ALPHA-01,134.1,509.26,63.75,35.13,46.24,12.53,2.375,23.8,28.52,1.92,0.903,1,Clear,10.27,0,11.11,22.6,118.28,106.81,0.0807,1.1983,3,0.7071,0.7071,0,1,0,0,0
2026-06-05 04:00:00,TX-ALPHA-01,130.13,539.06,68.25,37.52,49.08,11.66,2.678,26.52,9.2,0.98,0.898,1,Overcast,14.71,0,11.56,25.86,121.5,109.11,0.037,0.3469,4,0.866,0.5,0,0,0,1,0
2026-06-05 05:00:00,TX-ALPHA-01,131.47,434.42,53.74,42.02,48.58,15.56,2.221,17.44,18.83,0.75,0.957,0,Clear,3.5,0,6.56,26.46,98.92,94.67,0.043,1.0797,5,0.9659,0.2588,0,1,0,0,0
2026-06-05 06:00:00,TX-ALPHA-01,134.52,486.92,61.56,40.0,49.68,16.04,2.267,11.34,34.95,0.37,0.937,1,Clear,8.35,0,9.68,23.96,113.45,106.3,0.0326,3.082,6,1.0,0.0,0,1,0,0,0
2026-06-05 07:00:00,TX-ALPHA-01,130.86,447.41,55.88,44.75,54.4,18.71,2.228,25.78,17.14,0.51,0.901,0,Overcast,4.8,0,9.65,26.04,101.41,91.37,0.0198,0.6649,7,0.9659,-0.2588,0,0,0,1,0
2026-06-05 08:00:00,TX-ALPHA-01,130.94,502.85,62.93,46.26,57.21,24.01,2.149,13.36,17.21,0.28,0.937,1,Overcast,8.43,0,10.95,22.25,114.04,106.86,0.021,1.2882,8,0.866,-0.5,0,0,0,1,0
